,Faculty Name,University Name,Publications,Adj
0,Vyas Sekar,Carnegie Mellon University,44,8.3
1,Elaine Shi,Carnegie Mellon University,38,9.3
2,Christian Kästner,Carnegie Mellon University,34,8
3,David G.,Carnegie Mellon University,30,6.6
4,Bryan Parno,Carnegie Mellon University,30,5.9
5,Srinivasan Seshan,Carnegie Mellon University,28,5.8
6,David Brumley,Carnegie Mellon University,26,7.5
7,Brandon Lucia,Carnegie Mellon University,26,8.7
8,Phillip B.,Carnegie Mellon University,25,4.4
9,Gregory R.,Carnegie Mellon University,23,4.5
10,Bogdan Vasilescu,Carnegie Mellon University,20,4.7
11,Nicolas Christin,Carnegie Mellon University,18,4.1
12,Todd C.,Carnegie Mellon University,18,3.4
13,Umut A.,Carnegie Mellon University,16,4.2
14,Nathan Beckmann,Carnegie Mellon University,16,4.1
15,James D.,Carnegie Mellon University,16,5.9
16,Robert Harper,Carnegie Mellon University,15,5.6
17,Jan Hoffmann,Carnegie Mellon University,15,4.9
18,Dimitrios Skarlatos,Carnegie Mellon University,14,2.5
19,Anupam Datta,Carnegie Mellon University,14,3.4
20,Justine Sherry,Carnegie Mellon University,14,2.7
21,Guy E.,Carnegie Mellon University,13,4.2
22,Lorrie Faith,Carnegie Mellon University,13,2.3
23,Matt Fredrikson,Carnegie Mellon University,12,3.4
24,James C.,Carnegie Mellon University,12,2.7
25,Lujo Bauer,Carnegie Mellon University,11,2.2
26,Claire Le,Carnegie Mellon University,11,3.2
27,Swarun Kumar,Carnegie Mellon University,11,2.5
28,Brad A.,Carnegie Mellon University,11,3.9
29,Jonathan Aldrich,Carnegie Mellon University,10,2.9
30,Peter Steenkiste,Carnegie Mellon University,10,2.2
31,Karl Crary,Carnegie Mellon University,9,5.4
32,Virgil D.,Carnegie Mellon University,9,3.1
33,K. V.,Carnegie Mellon University,9,2.2
34,Wenting Zheng,Carnegie Mellon University,8,1.6
35,Yuvraj Agarwal,Carnegie Mellon University,7,1.5
36,David Garlan,Carnegie Mellon University,7,1.9
37,Zhihao Jia,Carnegie Mellon University,7,0.7
38,Eunsuk Kang,Carnegie Mellon University,6,1.6
39,Vipul Goyal,Carnegie Mellon University,5,1.3
40,Mor Harchol-Balter,Carnegie Mellon University,5,1.2
41,Vincent J.,Carnegie Mellon University,5,1.5
42,Farnam Jahanian,Carnegie Mellon University,5,1.4
43,Rohan Padhye,Carnegie Mellon University,5,1.5
44,Frank Pfenning,Carnegie Mellon University,5,1.9
45,Seth Copen,Carnegie Mellon University,4,1.4
46,Mary Shaw,Carnegie Mellon University,4,1.1
47,Travis D.,Carnegie Mellon University,3,0.5
48,Randal E.,Carnegie Mellon University,3,0.5
49,Laura A.,Carnegie Mellon University,3,0.9
50,Jason I.,Carnegie Mellon University,3,0.6
51,George Amvrosiadis,Carnegie Mellon University,2,0.5
52,Yuanzhi Li,Carnegie Mellon University,2,0.2
53,Diana Marculescu,Carnegie Mellon University,2,1
54,Heather Miller,Carnegie Mellon University,2,0.3
55,Graham Neubig,Carnegie Mellon University,2,0.3
56,Bruno Sinopoli,Carnegie Mellon University,2,0.4
57,Alessandro Acquisti,Carnegie Mellon University,1,0.3
58,Luis von,Carnegie Mellon University,1,0.3
59,Stephen D.,Carnegie Mellon University,1,0.3
60,Tianqi Chen,Carnegie Mellon University,1,0.1
61,Rayid Ghani,Carnegie Mellon University,1,0.3
62,Pravesh Kothari,Carnegie Mellon University,1,0.3
63,Maxim Likhachev,Carnegie Mellon University,1,0.2
64,David R.,Carnegie Mellon University,1,0.3
65,André Platzer,Carnegie Mellon University,1,0.2
66,William L.,Carnegie Mellon University,1,0.5
67,Nihar B.,Carnegie Mellon University,1,0.2
68,Douglas C.,Carnegie Mellon University,1,0.3
69,David P.,Carnegie Mellon University,1,0.5
70,Hari Balakrishnan,Massachusetts Institute of Technology,51,13.5
71,Martin C.,Massachusetts Institute of Technology,50,15.6
72,M. Frans,Massachusetts Institute of Technology,48,10.6
73,Nickolai Zeldovich,Massachusetts Institute of Technology,47,12
74,Dina Katabi,Massachusetts Institute of Technology,41,11.9
75,Daniel Sánchez,Massachusetts Institute of Technology,33,10.7
76,Mohammad Alizadeh,Massachusetts Institute of Technology,33,5.7
77,Srini Devadas,Massachusetts Institute of Technology,31,6.8
78,Robert Tappan,Massachusetts Institute of Technology,31,7.4
79,Saman P.,Massachusetts Institute of Technology,27,6.6
80,Adam Chlipala,Massachusetts Institute of Technology,22,10.6
81,Armando Solar-Lezama,Massachusetts Institute of Technology,19,5.6
82,Christina Delimitrou,Massachusetts Institute of Technology,16,4
83,Daniel Jackson,Massachusetts Institute of Technology,14,5.7
84,Barbara Liskov,Massachusetts Institute of Technology,14,4
85,Arvind arch,Massachusetts Institute of Technology,13,3.3
86,Michael Carbin,Massachusetts Institute of Technology,13,3
87,Manya Ghobadi,Massachusetts Institute of Technology,12,1.7
88,Fadel Adib,Massachusetts Institute of Technology,11,3.6
89,Adam Belay,Massachusetts Institute of Technology,10,1.9
90,Samuel Madden,Massachusetts Institute of Technology,9,2.1
91,Ronald L.,Massachusetts Institute of Technology,8,2.8
92,Anant Agarwal,Massachusetts Institute of Technology,5,1.1
93,David R.,Massachusetts Institute of Technology,5,1
94,Jonathan Ragan-Kelley,Massachusetts Institute of Technology,5,1
95,Vinod Vaikuntanathan,Massachusetts Institute of Technology,5,1.3
96,Silvio Micali,Massachusetts Institute of Technology,3,0.7
97,Devavrat Shah,Massachusetts Institute of Technology,3,0.7
98,David K.,Massachusetts Institute of Technology,2,0.5
99,Piotr Indyk,Massachusetts Institute of Technology,2,0.4
100,Muriel Médard,Massachusetts Institute of Technology,2,0.4
101,Nir Shavit,Massachusetts Institute of Technology,2,0.8
102,Julian Shun,Massachusetts Institute of Technology,2,0.4
103,Vivienne Sze,Massachusetts Institute of Technology,2,0.5
104,Antonio Torralba,Massachusetts Institute of Technology,1,0.1
105,Rob Miller,Massachusetts Institute of Technology,1,0.3
106,Erik D.,Massachusetts Institute of Technology,1,0.1
107,Frédo Durand,Massachusetts Institute of Technology,1,0.2
108,John V.,Massachusetts Institute of Technology,1,0.2
109,Nancy A.,Massachusetts Institute of Technology,1,0.3
110,Daniela Rus,Massachusetts Institute of Technology,1,0.2
111,Rahul Sarpeshkar,Massachusetts Institute of Technology,1,0.3
112,Ryan Williams,Massachusetts Institute of Technology,1,0.3
113,Josep Torrellas,Univ. of Illinois at Urbana-Champaign,86,23.5
114,Nam Sung,Univ. of Illinois at Urbana-Champaign,35,7.1
115,Christopher W.,Univ. of Illinois at Urbana-Champaign,34,6.6
116,Sarita V.,Univ. of Illinois at Urbana-Champaign,24,6.8
117,Darko Marinov,Univ. of Illinois at Urbana-Champaign,24,5.2
118,Lingming Zhang,Univ. of Illinois at Urbana-Champaign,23,5.6
119,Vikram S.,Univ. of Illinois at Urbana-Champaign,22,6
120,Kirill Levchenko,Univ. of Illinois at Urbana-Champaign,22,3.7
121,Wen-Mei W.,Univ. of Illinois at Urbana-Champaign,21,4.7
122,P. Madhusudan,Univ. of Illinois at Urbana-Champaign,20,6.1
123,Tianyin Xu,Univ. of Illinois at Urbana-Champaign,20,3
124,Gang Wang,Univ. of Illinois at Urbana-Champaign,18,3.9
125,Adam Bates,Univ. of Illinois at Urbana-Champaign,17,3.4
126,Ling Ren,Univ. of Illinois at Urbana-Champaign,17,4.7
127,Rakesh Kumar,Univ. of Illinois at Urbana-Champaign,17,4.1
128,Brighten Godfrey,Univ. of Illinois at Urbana-Champaign,17,3.6
129,Jian Huang,Univ. of Illinois at Urbana-Champaign,16,3.5
130,Nikita Borisov,Univ. of Illinois at Urbana-Champaign,16,4.6
131,Saugata Ghose,Univ. of Illinois at Urbana-Champaign,16,1.8
132,Carl A.,Univ. of Illinois at Urbana-Champaign,16,3.7
133,Sasa Misailovic,Univ. of Illinois at Urbana-Champaign,15,3.5
134,Grigore Rosu,Univ. of Illinois at Urbana-Champaign,14,4.3
