,Rank,University Name,Country,Count,Faculty
0,1,Carnegie Mellon University,United States,29.0,70
1,2,Massachusetts Institute of Technology,United States,25.3,43
2,3,Univ. of Illinois at Urbana-Champaign,United States,21.1,59
3,4,University of Washington,United States,18.8,30
4,5,Stanford University,United States,17.3,28
5,6,ETH Zurich,Switzerland,17.2,26
6,6,Univ. of California - San Diego,United States,17.2,51
7,8,University of Wisconsin - Madison,United States,16.5,35
8,9,Univ. of California - Berkeley,United States,16.4,38
9,10,University of Michigan,United States,16.1,44
10,11,Purdue University,United States,15.3,42
11,12,Georgia Institute of Technology,United States,14.3,48
12,13,Cornell University,United States,13.7,38
13,14,University of Texas at Austin,United States,13.2,25
14,15,Princeton University,United States,13.0,25
15,16,University of Chicago,United States,10.6,24
16,17,University of Pennsylvania,United States,10.0,29
17,18,EPFL,Switzerland,9.8,24
18,19,National University of Singapore,Singapore,9.7,34
19,20,Max Planck Society,Germany,9.3,23
20,21,KAIST,"Korea, Republic of",9.2,30
21,21,Univ. of California - Los Angeles,United States,9.2,21
22,23,Columbia University,United States,9.1,29
23,24,Univ. of California - Santa Barbara,United States,8.7,22
24,25,University of Toronto,Canada,8.6,27
25,26,Pennsylvania State University,United States,7.9,27
26,27,Northeastern University,United States,7.5,33
27,28,University of Waterloo,Canada,7.3,38
28,29,Univ. of California - Riverside,United States,6.8,22
29,30,University of Massachusetts Amherst,United States,6.6,28
30,31,Peking University,China,6.5,42
31,31,University of Maryland - College Park,United States,6.5,29
32,33,Shanghai Jiao Tong University,China,6.4,44
33,34,Technion,Israel,6.3,27
34,35,Ohio State University,United States,6.1,20
35,36,Tsinghua University,China,6.0,43
36,36,Univ. of California - Irvine,United States,6.0,27
37,38,New York University,United States,5.9,22
38,39,Texas A&M University,United States,5.8,15
39,39,University of British Columbia,Canada,5.8,23
40,41,North Carolina State University,United States,5.6,26
41,41,Tel Aviv University,Israel,5.6,12
42,41,University of Cambridge,United Kingdom,5.6,27
43,41,Yale University,United States,5.6,21
44,45,Stony Brook University,United States,5.5,26
45,46,Imperial College London,United Kingdom,5.4,23
46,47,University of Southern California,United States,5.2,14
47,48,Harvard University,United States,5.1,14
48,48,Virginia Tech,United States,5.1,23
49,50,Seoul National University,"Korea, Republic of",5.0,17
50,51,Univ. of California - Santa Cruz,United States,4.9,22
51,51,University of Virginia,United States,4.9,19
52,53,Duke University,United States,4.8,18
53,54,Northwestern University,United States,4.5,19
54,54,University of Utah,United States,4.5,22
55,56,Nanjing University,China,4.4,46
56,56,University College London,United Kingdom,4.4,22
57,58,University of Edinburgh,United Kingdom,4.3,25
58,59,University of Colorado Boulder,United States,4.1,18
59,60,University of Minnesota,United States,3.9,14
60,61,HKUST,Hong Kong,3.8,12
61,61,Rice University,United States,3.8,17
62,61,Rutgers University,United States,3.8,16
63,61,Univ. of California - Davis,United States,3.8,19
64,65,Brown University,United States,3.7,15
65,66,George Mason University,United States,3.6,29
66,67,Chinese Academy of Sciences,China,3.4,26
67,68,Chalmers/GU,Sweden,3.3,24
68,68,IISc Bangalore,India,3.3,13
69,68,VU Amsterdam,Netherlands,3.3,15
70,71,CISPA Helmholtz Center,Germany,3.2,24
71,71,Indiana University,United States,3.2,18
72,71,Simon Fraser University,Canada,3.2,11
73,71,Universidade de Lisboa,Portugal,3.2,19
74,75,University of Rochester,United States,3.1,9
75,76,Aarhus University,Denmark,3.0,13
76,76,Boston University,United States,3.0,17
77,76,TU Darmstadt,Germany,3.0,15
78,76,University of Illinois at Chicago,United States,3.0,14
79,80,Arizona State University,United States,2.9,17
80,80,KTH Royal Institute of Technology,Sweden,2.9,10
81,82,Australian National University,Australia,2.8,13
82,82,IMDEA Software Institute,Spain,2.8,11
83,84,College of William and Mary,United States,2.7,12
84,84,Oregon State University,United States,2.7,11
85,84,TU Wien,Austria,2.7,15
86,84,University of Sydney,Australia,2.7,9
87,84,Università della Svizzera italiana,Switzerland,2.7,11
88,89,KU Leuven,Belgium,2.6,12
89,89,Singapore Management University,Singapore,2.6,10
90,89,University of Stuttgart,Germany,2.6,4
91,89,Zhejiang University,China,2.6,28
92,93,Binghamton University,United States,2.5,12
93,93,Fudan University,China,2.5,21
94,93,Stevens Institute of Technology,United States,2.5,9
95,93,University at Buffalo,United States,2.5,14
96,93,University of Central Florida,United States,2.5,12
97,93,University of Oxford,United Kingdom,2.5,13
98,99,Saarland University,Germany,2.4,9
99,99,TU Delft,Netherlands,2.4,19
100,99,University of Texas at Dallas,United States,2.4,13
101,102,SUSTech,China,2.3,8
102,102,Tufts University,United States,2.3,6
103,102,University of Arizona,United States,2.3,11
104,102,University of Birmingham,United Kingdom,2.3,15
105,106,Chinese University of Hong Kong,Hong Kong,2.2,11
106,106,McGill University,Canada,2.2,5
107,106,UNSW,Australia,2.2,11
108,109,City University of Hong Kong,Hong Kong,2.1,10
109,109,Ecole Normale Superieure,France,2.1,15
110,109,Florida State University,United States,2.1,9
111,109,Korea University,"Korea, Republic of",2.1,3
112,109,Monash University,Australia,2.1,13
113,109,Rochester Institute of Technology,United States,2.1,14
